postcode,male,female,male_over_1,female_over_1,male_over_2,female_over_2,male_over_3,female_over_3
3148,3963,3858,89,48,35,12,14,8
3149,15583,16494,129,64,58,28,41,21
3150,28562,29743,253,139,125,68,83,41
3151,5009,5132,82,42,33,25,23,19
3152,15113,16124,182,103,85,43,62,31
3153,9732,9926,87,32,43,20,28,11
3154,2126,2103,12,14,5,8,3,2
3155,10099,10726,64,34,30,10,23,8
3156,17706,17949,115,53,43,21,26,14
3158,3484,3480,17,8,4,4,4,3
3160,4512,4582,65,36,25,10,13,4
3161,7002,7553,138,80,66,37,43,30
3162,7958,8477,93,74,42,30,35,18
3163,14576,14977,197,108,92,52,65,33
3165,12717,13207,104,50,50,22,30,16
3166,10998,11343,173,90,66,40,50,28
3167,4558,4582,57,27,22,11,14,8
3168,8762,8130,179,106,75,45,49,28
3169,9743,9346,64,21,25,6,17,5
3170,8718,8929,127,63,52,24,37,16
3171,10143,9628,156,80,55,30,28,16
3172,11075,11294,58,22,25,7,16,4
3173,9863,10022,82,30,31,12,21,5
3174,18006,17762,78,36,39,16,30,14
3175,24440,23553,203,112,87,64,50,39
3177,5170,5085,24,17,8,7,3,7
3178,17200,17577,101,51,52,29,36,14
3179,2971,2921,61,38,25,17,13,11
3180,3486,3654,32,23,21,14,11,10
3181,8960,9303,658,502,317,244,215,157
3182,10694,9951,1014,798,496,391,343,249
3183,8987,8967,179,113,90,54,62,32
3184,7033,7605,194,150,90,68,64,39
3185,5813,6407,196,128,88,64,58,39
3186,9973,11284,400,301,168,130,106,67
3187,7465,8349,78,52,31,20,25,16
3188,8139,8737,132,71,60,32,42,18
3189,2608,2675,114,48,47,12,29,6
3190,4858,5405,83,45,38,16,25,12
3191,4415,4894,94,53,42,19,29,10
3192,9794,10498,186,100,80,43,56,21
3193,9103,9670,135,87,65,30,45,16
3194,5551,6116,109,63,51,25,35,14
3195,16637,17465,218,106,107,40,74,28
3196,11328,12262,116,71,54,24,38,17
3197,5483,5704,42,32,22,17,16,13
3198,7996,8037,79,53,39,27,27,14
3199,25475,27151,203,124,97,56,65,38
3200,2742,2884,16,11,4,4,4,4
3201,9391,9731,52,32,21,18,17,10
3202,1416,1352,36,14,12,6,5,6
3204,13738,14447,170,94,92,42,55,26
3205,4552,4765,591,431,292,202,186,131
3206,4847,5170,549,276,272,136,171,83
3207,7033,7488,464,277,216,118,140,75
3752,10224,10650,52,41,30,19,19,15
3754,8809,8977,49,24,21,18,18,15
3765,3269,3464,17,6,11,3,5,1
3767,614,623,60,50,19,13,8,9
3770,1633,1556,9,9,1,4,1,1
3782,3897,3874,43,28,12,11,7,7
3785,null,null,41,70,16,22,9,8
3788,827,836,54,29,16,11,8,3
3789,137,131,38,33,16,12,6,3
3791,788,769,17,16,3,4,1,1
3796,4687,4687,20,20,10,7,7,3
3802,12322,12252,39,22,17,10,10,9
3803,5005,5157,29,21,10,4,7,1
3804,3376,3328,7,7,2,1,2,1
3805,27236,27244,117,82,58,45,45,36
3806,22160,23391,100,69,48,31,32,24
3807,3404,3386,21,20,9,7,7,3
3809,896,865,1,4,1,2,1,2
3910,10426,10945,42,26,23,14,16,3
3913,1644,1662,14,8,9,4,3,2
3915,4364,4665,19,18,7,7,2,4
3919,1444,1395,5,6,3,2,1,2
3930,8351,8897,63,46,32,21,17,15
3931,10434,11988,195,140,80,56,53,29
3934,8226,8861,81,47,36,21,25,14
3936,4406,4608,95,72,41,29,29,21
3938,1239,1304,24,14,5,6,3,3
3939,6422,7195,69,40,22,13,13,8
3941,5838,5867,86,72,34,28,16,21
3942,1072,1089,50,27,26,9,18,5
3943,699,749,121,89,45,34,23,16
3944,220,226,91,71,34,21,12,7
3975,5813,5853,28,25,14,11,10,7
3977,33461,33963,140,70,67,44,48,36
3978,649,569,12,10,6,7,3,6
